Type,Date,Authors,Publication,Number of arms,Number of tubes,Number of DoF,Mode of actuation,Actuation type,Dimensions LxWxH (mm),Weight (kg)
Parallel,2010,Su et al.,https://www.researchgate.net/publication/229011320_Modular_needle_steering_driver_for_MRI-guided_transperineal_prostate_intervention,1,2,3,R/T,Piezoelectric,-,3.5
Parallel,2007,Webster et al.,http://research.vuse.vanderbilt.edu/MEDlab/sites/default/files/WebsterDissertation07.pdf,1,3,6,R/T,EM actuator,-,-
Parallel,2007,Webster et al.,http://research.vuse.vanderbilt.edu/MEDlab/sites/default/files/WebsterDissertation07.pdf https://dx.doi.org/10.1109/TRO.2008.2006868 https://dx.doi.org/10.1109/ROBOT.2008.4543808 https://dx.doi.org/10.1177/0278364910367543 https://etd.library.vanderbilt.edu/etd-10042011-115347 ,1,2,2+,R/T,Manual,-,-
Parallel,2005,Okazawa et al.,https://dx.doi.org/10.1109/TMECH.2005.848300,1,2,2,R/T,EM actuator,-,-
Hybrid,2018,Boushaki et al,https://tel.archives-ouvertes.fr/tel-01817565/document 10.1109/ICARCV.2016.7838563,1,3,6,R/T,EM actuator,-,-
Hybrid,2016,Su et al.,https://dx.doi.org/10.1007/s10439-016-1585-7,1,3,6,R/T,Piezoelectric,-,-
Hybrid,2012,Sophocleous et al.,https://dx.doi.org/10.1109/BIBE.2012.6399679,1,3,3,R/T,EM actuator,570x135x190,-
Hybrid,2012,Su et al.,https://dx.doi.org/10.1109/ICRA.2012.6224550,1,3,4,R/T,Piezoelectric,-,-
Hybrid,2012,Cardona et al.,http://research.vuse.vanderbilt.edu/MEDLab/sites/default/files/SuMRI-GuidedICRA12.pdf,1,3,3,R/T,Pneumatic,820x130x85,-
Hybrid,2010,Rucker et al.,https://etd.library.vanderbilt.edu/etd-10042011-115347 10.1109/TRO.2010.2062570 10.1109/ROBOT.2010.5509695 10.1109/ROBOT.2010.5509701,1,2,4,R/T,Manual,-,-
